customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,Atelier graphique,Schmitt,Carine ,40.32.2555,"54, rue Royale",No level,Nantes,No data,44000,France,1370.0,21000.0
112,Signal Gift Stores,King,Jean,7025551838,8489 Strong St.,No level,Las Vegas,NV,83030,USA,1166.0,71800.0
114,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,1611.0,117300.0
119,La Rochelle Gifts,Labrune,Janine ,40.67.8555,"67, rue des Cinquante Otages",No level,Nantes,No data,44000,France,1370.0,118200.0
121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,No level,Stavern,No data,4110,Norway,1504.0,81700.0
124,Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,No level,San Rafael,CA,97562,USA,1165.0,210500.0
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,No level,Warszawa,No data,01-012,Poland,0.0,0.0
128,"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,No level,Frankfurt,No data,60528,Germany,1504.0,59700.0
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,No level,San Francisco,CA,94217,USA,1165.0,64600.0
131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,No level,NYC,NY,10022,USA,1323.0,114900.0
141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",No level,Madrid,No data,28034,Spain,1370.0,227600.0
144,"Volvo Model Replicas, Co",Berglund,Christina ,0921-12 3555,Berguvsvägen  8,No level,Luleå,No data,S-958 22,Sweden,1504.0,53100.0
145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,No level,Kobenhavn,No data,1734,Denmark,1401.0,83400.0
146,"Saveley & Henriot, Co.",Saveley,Mary ,78.32.5555,"2, rue du Commerce",No level,Lyon,No data,69004,France,1337.0,123900.0
148,"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,No data,079903,Singapore,1621.0,103800.0
151,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,1286.0,138500.0
157,Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,No level,Allentown,PA,70267,USA,1216.0,100600.0
161,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,No level,Burlingame,CA,94217,USA,1165.0,84600.0
166,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,No data,069045,Singapore,1612.0,97900.0
167,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,No data,N 5804,Norway  ,1504.0,96800.0
168,American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA,1286.0,0.0
169,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da saúde n. 58,No level,Lisboa,No data,1756,Portugal,0.0,0.0
171,Daedalus Designs Imports,Rancé,Martine ,20.16.1555,"184, chaussée de Tournai",No level,Lille,No data,59000,France,1370.0,82900.0
172,"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",No level,Paris,No data,75012,France,1337.0,84300.0
173,Cambridge Collectables Co.,Tseng,Jerry,6175555555,4658 Baden Av.,No level,Cambridge,MA,51247,USA,1188.0,43400.0
175,Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,No level,Bridgewater,CT,97562,USA,1323.0,84300.0
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,No level,Kita-ku,Osaka, 530-0003,Japan,1621.0,81200.0
181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286.0,76400.0
186,"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,No level,Helsinki,No data,21240,Finland,1501.0,96500.0
187,"AV Stores, Co.",Ashworth,Rachel,(171) 555-1555,Fauntleroy Circus,No level,Manchester,No data,EC2 5NT,UK,1501.0,136800.0
189,"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,No data,2,Ireland,1504.0,69400.0
198,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,No level,Brickhaven,MA,58339,USA,1216.0,23000.0
201,"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,"12, Berkeley Gardens Blvd",No level,Liverpool,No data,WX1 6LT,UK,1501.0,92700.0
202,Canadian Gift Exchange Network,Tamuri,Yoshi ,(604) 555-3392,1900 Oak St.,No level,Vancouver,BC,V3F 2K1,Canada,1323.0,90300.0
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,No level,Brickhaven,MA,58339,USA,1188.0,68700.0
205,Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,No level,Pasadena,CA,90003,USA,1166.0,90700.0
206,"Asian Shopping Network, Co",Walker,Brydey,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,No data,038988,Singapore,0.0,0.0
209,Mini Caravy,Citeaux,Frédérique ,88.60.1555,"24, place Kléber",No level,Strasbourg,No data,67000,France,1370.0,53800.0
211,"King Kong Collectables, Co.",Gao,Mike,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,No data,No direction,Hong Kong,1621.0,58600.0
216,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,"Rambla de Cataluña, 23",No level,Barcelona,No data,08022,Spain,1702.0,60300.0
219,Boards & Toys Co.,Young,Mary,3105552373,4097 Douglas Av.,No level,Glendale,CA,92561,USA,1166.0,11000.0
223,Natürlich Autos,Kloss,Horst ,0372-555188,Taucherstraße 10,No level,Cunewalde,No data,01307,Germany,0.0,0.0
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,No level,Århus,No data,8200,Denmark,1401.0,120800.0
233,Québec Home Shopping Network,Fresnière,Jean ,(514) 555-8054,43 rue St. Laurent,No level,Montréal,Québec,H1J 1C3,Canada,1286.0,48700.0
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,"Gran Vía, 1",No level,Madrid,No data,28001,Spain,0.0,0.0
239,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,No level,San Diego,CA,91217,USA,1166.0,105000.0
240,giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,1501.0,93900.0
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,No level,Toulouse,No data,31000,France,1370.0,61100.0
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,No level,Frankfurt,No data,60528,Germany,0.0,0.0
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,No level,Torino,No data,10100,Italy,1401.0,113000.0
250,Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,No level,Paris,No data,75508,France,1337.0,68100.0
256,Auto Associés & Cie.,Tonini,Daniel ,30.59.8555,"67, avenue de l'Europe",No level,Versailles,No data,78000,France,1370.0,77900.0
259,"Toms Spezialitäten, Ltd",Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,No level,Köln,No data,50739,Germany,1504.0,120400.0
260,"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth ,(604) 555-4555,23 Tsawassen Blvd.,No level,Tsawassen,BC,T2F 8M4,Canada,1323.0,89600.0
273,"Franken Gifts, Co",Franken,Peter ,089-0877555,Berliner Platz 43,No level,München,No data,80805,Germany,0.0,0.0
276,"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,1611.0,107800.0
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,No level,Bergamo,No data,24100,Italy,1401.0,119600.0
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611.0,93300.0
286,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,No level,Cambridge,MA,51247,USA,1216.0,123700.0
293,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,No level,Fribourg,No data,1700,Switzerland,0.0,0.0
298,"Vida Sport, Ltd",Holz,Mihael,0897-034555,Grenzacherweg 237,No level,Genève,No data,1203,Switzerland,1702.0,141300.0
299,"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,No data,N 0106,Norway  ,1504.0,95100.0
303,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,No level,Amsterdam,No data,1043 GR,Netherlands,0.0,0.0
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,No level,Berlin,No data,12209,Germany,0.0,0.0
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,No level,Oulu,No data,90110,Finland,1501.0,90500.0
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,No level,Bruxelles,No data,B-1180,Belgium,1401.0,79900.0
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,No level,White Plains,NY,24067,USA,1323.0,102700.0
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,No level,New Bedford,MA,50553,USA,1188.0,94500.0
321,Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,No level,San Francisco,CA,94217,USA,1165.0,105000.0
323,"Down Under Souveniers, Inc",Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,No data,No direction,New Zealand,1612.0,88000.0
324,"Stylish Desk Decors, Co.",Brown,Ann ,(171) 555-0297,35 King George,No level,London,No data,WX3 6FW,UK,1501.0,77000.0
328,Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,No level,Newark,NJ,94019,USA,1323.0,43000.0
333,"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,No level,South Brisbane,Queensland,4101,Australia,1611.0,51600.0
334,Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,No data,FIN-02271,Finland,1501.0,98800.0
335,"Cramer Spezialitäten, Ltd",Cramer,Philip ,0555-09555,Maubelstr. 90,No level,Brandenburg,No data,14776,Germany,0.0,0.0
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,No level,Philadelphia,PA,71270,USA,1188.0,81100.0
344,CAF Imports,Fernandez,Jesus,+34 913 728 555,Merchants House,27-30 Merchant's Quay,Madrid,No data,28023,Spain,1702.0,59600.0
347,"Men 'R' US Retailers, Ltd.",Chandler,Brian,2155554369,6047 Douglas Av.,No level,Los Angeles,CA,91003,USA,1166.0,57700.0
348,"Asian Treasures, Inc.",McKenna,Patricia ,2967 555,8 Johnstown Road,No level,Cork,Co. Cork,No direction,Ireland,0.0,0.0
350,Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,"12, rue des Bouchers",No level,Marseille,No data,13008,France,1337.0,65000.0
353,Reims Collectables,Henriot,Paul ,26.47.1555,59 rue de l'Abbaye,No level,Reims,No data,51100,France,1337.0,81100.0
356,"SAR Distributors, Co",Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,No level,Hatfield,Pretoria,0028,South Africa,0.0,0.0
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,No level,Auckland,No data,No direction,New Zealand,1612.0,77700.0
361,Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,No level,Münster,No data,44087,Germany,0.0,0.0
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,No level,Boston,MA,51003,USA,1216.0,41900.0
363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,No level,Nashua,NH,62005,USA,1216.0,114200.0
369,"Lisboa Souveniers, Inc",Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,No level,Lisboa,No data,1675,Portugal,0.0,0.0
376,Precious Collectables,Urs,Braun,0452-076555,Hauptstr. 29,No level,Bern,No data,3012,Switzerland,1702.0,0.0
379,Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,No level,Brickhaven,MA,58339,USA,1188.0,70700.0
381,Royale Belge,Cartrain,Pascale ,(071) 23 67 2555,"Boulevard Tirou, 255",No level,Charleroi,No data,B-6000,Belgium,1401.0,23500.0
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,No level,Salzburg,No data,5020,Austria,1401.0,71700.0
385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,No data,1227 MM,Philippines,1621.0,81500.0
386,L'ordine Souveniers,Moroni,Maurizio ,0522-556555,Strada Provinciale 124,No level,Reggio Emilia,No data,42100,Italy,1401.0,121400.0
